,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,0.0,0.4873,0.5,0.0005,0.9996,0.2,0.0005
0,1,0.0,0.486,0.5,0.0005,0.9996,0.2,0.0005
