,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,0.0,0.4986,0.5,0.0,1.0,0.0,0.0
0,1,0.0,0.4929,0.5,0.0,1.0,0.0,0.0
