,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,1.3426043262512177,0.628,0.5914,0.6952,0.4875,0.3991,0.1736
0,1,1.3299251102179295,0.6528,0.5999,0.518,0.6818,0.4392,0.1925
