,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,1.0365336011187913,0.8525,0.7871,0.8252,0.7491,0.6117,0.5418
0,1,0.9833767831421164,0.8846,0.8175,0.9051,0.7299,0.6189,0.5962
