,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,1.2324619216950432,0.7271,0.6689,0.6646,0.6732,0.4904,0.3182
0,1,1.1928510339072742,0.7542,0.7031,0.8169,0.5894,0.4887,0.3818
