,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,0.0,0.5495,0.5001,0.0218,0.9784,0.3216,0.0006
0,1,0.0,0.5526,0.5039,0.0269,0.9809,0.3982,0.025
