,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,0.0,0.4055,0.5,0.0,1.0,0.0,0.0
0,1,0.0,0.4047,0.5,0.0,1.0,0.0,0.0
