,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,1.1928088747005365,0.7911,0.6929,0.8138,0.5719,0.3164,0.3061
0,1,1.139988006655913,0.8034,0.7303,0.6551,0.8054,0.4501,0.4048
