,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,1.0816139715182511,0.8324,0.7604,0.7497,0.7711,0.4416,0.4383
0,1,1.0267503541346485,0.8545,0.7835,0.7804,0.7866,0.4632,0.477
