,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,1.1356901184747636,0.805,0.7303,0.8007,0.6598,0.5981,0.449
0,1,1.0753226014667572,0.8388,0.7652,0.8453,0.6852,0.6338,0.5185
