,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,1.106632688727893,0.8364,0.7459,0.9029,0.5889,0.5871,0.4913
0,1,1.0507747670882825,0.8486,0.7762,0.7824,0.77,0.6847,0.542
