,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,1.1139728300113527,0.8127,0.7464,0.8032,0.6896,0.6313,0.4825
0,1,1.0726320772430158,0.8328,0.7615,0.8323,0.6906,0.6354,0.5111
