,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,1.0590278436171658,0.8452,0.7739,0.8887,0.6591,0.621,0.5363
0,1,1.0231375499694266,0.8591,0.7959,0.8857,0.7061,0.6563,0.5773
