,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,1.337159105279834,0.639,0.6131,0.8036,0.4226,0.3985,0.2217
0,1,1.3671049454949045,0.6507,0.5854,0.9421,0.2287,0.3576,0.2083
