,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,1.3646572306559384,0.6109,0.5542,0.3414,0.7671,0.4104,0.1145
0,1,1.357262731729579,0.6435,0.5855,0.4369,0.734,0.4516,0.1724
