,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,1.0673958968233332,0.8499,0.7712,0.8932,0.6493,0.5584,0.5118
0,1,0.9963934185695374,0.8719,0.8049,0.8566,0.7532,0.6172,0.5717
