,epoch,loss,AUC,B_ACC,RECALL,SPE,PRE,MCC
0,0,1.1157706185435454,0.8112,0.7416,0.6982,0.7849,0.4362,0.4125
0,1,1.055170092490747,0.8442,0.7832,0.8194,0.747,0.4413,0.4674
